name,price,img
Samsung Galaxy A05 - 4GB 128GB - PTA Approved 1 Year Official Warranty,29999.00,https://static-01.daraz.pk/p/38df7c6f08e9d2b8ec623091b1ac99d2.jpg
"Samsung Galaxy A35 5G 8GB RAM, 256GB ROM, 6.6"" 120Hz Super AMOLED Display, Exynos 1380, 50MP Triple Camera, 5000mAh Battery",119999.00,https://static-01.daraz.pk/p/d548ecfcf1a015a5ee3cdc4f8b8849d8.jpg
"Samsung Galaxy A23 - 6.6"" Inch Display - 6GB RAM - 128GB ROM",59999.00,https://static-01.daraz.pk/p/39a6a9fbc1d0f587e726fe8b9b4f2867.jpg
Samsung Galaxy A05 RAM 4 GB ROM 128 GB Front Camera	8 MP Back Camera	50.0 MP + 2.0 MP   Battery Type	5000 mAh,29999.00,https://static-01.daraz.pk/p/67e8b74e62c4ff486376ba6ddb61ac03.png
Samsung Galaxy A14 - 6.6 Inch Display - 4GB RAM - 64GB & 128GB ROM,31599.00,https://static-01.daraz.pk/p/08b1bcf915b32c2d5f1ad6d4cdc31df4.jpg
"Samsung A15 - 8GB RAM 256GB ROM - 6.5 Inches  Super AMOLED Display - 13MP Front Camera - 50MP+5MP+2MP Triple Rear Camera - Dual SIM - 5000 mAh, non-removable",59999.00,https://static-01.daraz.pk/p/5604c57b2e9983954aef4ab51b5f19f7.png
Samsung Galaxy S24 ultra 12 GB RAM + 1 TB Storage,541999.00,https://static-01.daraz.pk/p/9d09c5d96d87d1a6db5c8ecefced36a7.jpg
"Samsung Galaxy A05s  4GB RAM-128GB ROM  6.7"" FHD+ 90Hz display 5000mAh long-lasting battery",37299.00,https://static-01.daraz.pk/p/d7db36bb3ff501a9cd7e4b483ebff77a.jpg
Samsung Galaxy S22 Ultra 12/256  12/512 Pta Approved,220000.00,https://pk-live-21.slatic.net/kf/Scba13ec33ce84b5394a96dc4bfd2725es.jpg
"Samsung Galaxy Tab A7 Lite T220 3GB+32GB 8.7"" Display",29999.00,https://static-01.daraz.pk/p/ccb6f751325da60347877df943dada70.jpg
Samsung Galaxy Flip 5 8GB + 512GB,314999.00,https://static-01.daraz.pk/p/00b3c8de754a5a028a5edba4373363d7.jpg
Samsung Galaxy S24 ultra 12 GB RAM + 1 TB Storage,541999.00,https://static-01.daraz.pk/p/9d09c5d96d87d1a6db5c8ecefced36a7.jpg
"Samsung Galaxy A05s  4GB RAM-128GB ROM  6.7"" FHD+ 90Hz display 5000mAh long-lasting battery",37299.00,https://static-01.daraz.pk/p/d7db36bb3ff501a9cd7e4b483ebff77a.jpg
Samsung Galaxy S22 Ultra 12/256  12/512 Pta Approved,220000.00,https://pk-live-21.slatic.net/kf/Scba13ec33ce84b5394a96dc4bfd2725es.jpg
"Samsung Galaxy Tab A7 Lite T220 3GB+32GB 8.7"" Display",29999.00,https://static-01.daraz.pk/p/ccb6f751325da60347877df943dada70.jpg
